,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
192,4147200,48.0,-6.541554089496099e-05,7.834462181661e-05,-1.2929080921648e-05,-3.8256818662572e-08,4.476651210370401e-08,-6.509693441131999e-09,-16.65034063388,24.251727337601,-1.6487778289449,0.13333333333333,50400.0,1,1100.0,530.0,0.2,17.0
196,4233600,49.0,-6.6418972168885e-05,7.951953578779699e-05,-1.3100563618911999e-05,-3.9238169110388e-08,4.5947230929171e-08,-6.7090618187829e-09,-16.649357795621,24.363238299739,-1.6363883481987,0.13611111111111,50400.0,1,1100.0,530.0,0.2,17.0
200,4320000,50.0,-6.7415152737354e-05,8.068545384021601e-05,-1.3270301102861e-05,-4.0227334783377006e-08,4.7138535535977994e-08,-6.9112007526016e-09,-16.648371032783,24.474788792712,-1.6240019904319998,0.13888888888889,50400.0,1,1100.0,530.0,0.2,17.0
204,4406400,51.0,-6.840427731150601e-05,8.1842626638916e-05,-1.343834932741e-05,-4.1224338896901e-08,4.8340466272362e-08,-7.116127375460799e-09,-16.647415229186002,24.585220427775997,-1.6119303777041,0.14166666666667002,50400.0,1,1100.0,530.0,0.2,17.0
208,4492800,52.0,-6.9386574387909e-05,8.2991341883869e-05,-1.3604767495961e-05,-4.2229214834119e-08,4.9553074617660995e-08,-7.323859783542199e-09,-16.64643426999,24.696674545534,-1.5995863088105,0.14444444444444002,50400.0,1,1100.0,530.0,0.2,17.0
212,4579200,53.0,-7.0362238491388e-05,8.4131850025544e-05,-1.3769611534157001e-05,-4.3241989687173e-08,5.0776407097028e-08,-7.5344174098552e-09,-16.645462122113,24.808036505632,-1.5872707924813998,0.14722222222222,50400.0,1,1100.0,530.0,0.2,17.0
216,4665600,54.0,-7.1331439437377e-05,8.5264369487804e-05,-1.3932930050426999e-05,-4.4262682972809004e-08,5.2010498439381e-08,-7.7478154665716e-09,-16.644507491468,24.917545379934,-1.5754234191699,0.15,50400.0,1,1100.0,530.0,0.2,17.0
220,4752000,55.0,-7.2294390177576e-05,8.6389169135917e-05,-1.4094778958341e-05,-4.529133630365599e-08,5.325541332532e-08,-7.9640770216649e-09,-16.64354533761,25.029561982666998,-1.5629596157043002,0.15277777777777998,50400.0,1,1100.0,530.0,0.2,17.0
224,4838400,56.0,-7.3251224543505e-05,8.7506425641862e-05,-1.4255201098357001e-05,-4.6327959228609004e-08,5.4511174859618e-08,-8.1832156310094e-09,-16.64260196412,25.138588819678002,-1.5512402608934999,0.15555555555556,50400.0,1,1100.0,530.0,0.2,17.0
228,4924800,57.0,-7.4202145562934e-05,8.8616391981458e-05,-1.4414246418524e-05,-4.737259452998099e-08,5.5777846683909e-08,-8.4052521539289e-09,-16.641652380153,25.249836565912,-1.5389724954753,0.15833333333333,50400.0,1,1100.0,530.0,0.2,17.0
232,5011200,58.0,-7.5147369136489e-05,8.9719343254521e-05,-1.4571974118032999e-05,-4.8425295465985994e-08,5.7055511654259e-08,-8.630216188272901e-09,-16.641290779385,25.365387882837,-1.5274954416891,0.16111111111110998,50400.0,1,1100.0,530.0,0.2,17.0
236,5097600,59.0,-7.6086984269191e-05,9.0815392929324e-05,-1.4728408660133e-05,-4.9486063367892006e-08,5.8344178632482996e-08,-8.8581152645904e-09,-16.640309804844,25.475469023543,-1.5154571384261,0.16388888888889003,50400.0,1,1100.0,530.0,0.2,17.0
240,5184000,60.0,-7.7021170921865e-05,9.190476736507801e-05,-1.4883596443213e-05,-5.0554936721195e-08,5.9643905666763e-08,-9.088968945567199e-09,-16.639321417995998,25.587774062020003,-1.5028535161029,0.16666666666667002,50400.0,1,1100.0,530.0,0.2,17.0
244,5270400,61.0,-7.7950026117204e-05,9.2987593547822e-05,-1.5037567430617999e-05,-5.1631925967914006e-08,6.095471685369099e-08,-9.322790885777099e-09,-16.638365684073,25.696051677838998,-1.4912559560292,0.16944444444444,50400.0,1,1100.0,530.0,0.2,17.0
248,5356800,62.0,-7.8873681953479e-05,9.4064039758246e-05,-1.5190357804767001e-05,-5.271705863359201e-08,6.2276659106087e-08,-9.559600472495e-09,-16.637418089646,25.803806068739,-1.4798007997891998,0.17222222222222,50400.0,1,1100.0,530.0,0.2,17.0
252,5443200,63.0,-7.9792315046762e-05,9.5134326758147e-05,-1.5342011711385e-05,-5.3810380359590995e-08,6.3609800636398e-08,-9.799420276807e-09,-16.636390100586,25.914447727505003,-1.4675672866624998,0.175,50400.0,1,1100.0,530.0,0.2,17.0
256,5529600,64.0,-8.0706039098548e-05,9.61985971872e-05,-1.5492558088652e-05,-5.4911915263547e-08,6.495418145747599e-08,-1.0042266193929001e-08,-16.635336942022,26.023560867207,-1.4555646709119,0.17777777777778,50400.0,1,1100.0,530.0,0.2,17.0
260,5616000,65.0,-8.161495486807801e-05,9.725698573275201e-05,-1.5642030864674e-05,-5.6021680842795004e-08,6.630983763317999e-08,-1.0288156790385001e-08,-16.634375199616002,26.130805068249998,-1.4441650088383,0.18055555555556,50400.0,1,1100.0,530.0,0.2,17.0
264,5702400,66.0,-8.2519181608836e-05,9.830964117701e-05,-1.5790459568174e-05,-5.7139707554745994e-08,6.7676818031428e-08,-1.0537110476682e-08,-16.633450880864,26.237299086738,-1.4330130224978999,0.18333333333332996,50400.0,1,1100.0,530.0,0.2,17.0
268,5788800,67.0,-8.3418909938124e-05,9.935679935405501e-05,-1.5937889415931e-05,-5.8266056917425003e-08,6.905521218474401e-08,-1.078915526732e-08,-16.632487796613,26.349930098265,-1.4204293125689,0.18611111111111,50400.0,1,1100.0,530.0,0.2,17.0
272,5875200,68.0,-8.4314084041763e-05,0.00010039840233403001,-1.6084318292269e-05,-5.9400683547649005e-08,7.0444970957986e-08,-1.1044287410337e-08,-16.631640922040997,26.447888659101,-1.4113866561183999,0.18888888888889,50400.0,1,1100.0,530.0,0.2,17.0
