,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
126,2332800.0,27.0,-1.9964054704833e-05,2.6602735199667002e-05,-6.638680494834e-06,-1.9929291458254e-08,2.3186138321248e-08,-3.2568468629938e-09,-16.667816873996998,22.317054775232002,-2.1428009217826998,0.075,50400.0,1.0,1100.0,530.0,0.2,17.0
130,2419200.0,28.0,-2.0559244596432e-05,2.7400029794023e-05,-6.8407851975912e-06,-2.0780687817416e-08,2.4202402100595e-08,-3.421714283179e-09,-16.666791446523,22.437963977954002,-2.1362290812163,0.077777777777778,50400.0,1.0,1100.0,530.0,0.2,17.0
134,2505600.0,29.0,-2.114799624679e-05,2.8188986191484997e-05,-7.0409899446952e-06,-2.1639527590526997e-08,2.5228952167803e-08,-3.5894245772753e-09,-16.665744351612002,22.558295818053,-2.1295736839687,0.08055555555555599,50400.0,1.0,1100.0,530.0,0.2,17.0
138,2592000.0,30.0,-2.1730506742657998e-05,2.8969862218179998e-05,-7.2393554755228e-06,-2.250576607472e-08,2.626573785161e-08,-3.7599717768901e-09,-16.664704649742,22.674836431427003,-2.1235575087856997,0.083333333333333,50400.0,1.0,1100.0,530.0,0.2,17.0
142,2678400.0,31.0,-2.2306970447994e-05,2.9742911300248998e-05,-7.435940852255e-06,-2.3379376273686e-08,2.731273039124e-08,-3.9333541175541994e-09,-16.663638059241,22.791386050735998,-2.1172864191293,0.08611111111111099,50400.0,1.0,1100.0,530.0,0.2,17.0
146,2764800.0,32.0,-2.2877571227147e-05,3.0508373088251e-05,-7.6308018611039e-06,-2.426033179856e-08,2.8369901736439002e-08,-4.1095699378784005e-09,-16.662537510551,22.908032398451,-2.1106886935557,0.08888888888888902,50400.0,1.0,1100.0,530.0,0.2,17.0
150,2851200.0,33.0,-2.3442482540753e-05,3.1266473942753006e-05,-7.8239914020008e-06,-2.5148604914922e-08,2.9437222421269e-08,-4.288617506347101e-09,-16.661401572328,23.02414338849,-2.1039917210366004,0.091666666666667,50400.0,1.0,1100.0,530.0,0.2,17.0
154,2937600.0,34.0,-2.4001856519201003e-05,3.2017409676938e-05,-8.015553157736901e-06,-2.6044154009482002e-08,3.051464336396e-08,-4.4704893544778e-09,-16.660249723097,23.136887376776,-2.0977763065766,0.094444444444444,50400.0,1.0,1100.0,530.0,0.2,17.0
158,3024000.0,35.0,-2.4555847979157e-05,3.2761383682388e-05,-8.205535703231e-06,-2.694694845424e-08,3.1602132456234e-08,-4.6551840019938e-09,-16.659118378089,23.248308634842,-2.0916355489418,0.09722222222222197,50400.0,1.0,1100.0,530.0,0.2,17.0
162,3110400.0,36.0,-2.5104606445772e-05,3.34985909199e-05,-8.3939844741273e-06,-2.7856960904929e-08,3.2699660516440996e-08,-4.8426996115121e-09,-16.658574523442,23.357729756494003,-2.0866855788325,0.1,50400.0,1.0,1100.0,530.0,0.2,17.0
166,3196800.0,37.0,-2.564829093887e-05,3.4229236232689e-05,-8.5809452938184e-06,-2.8774205298583e-08,3.3807248607103995e-08,-5.0330433085212996e-09,-16.657493778943998,23.476070957159,-2.0784580237183,0.10277777777778,50400.0,1.0,1100.0,530.0,0.2,17.0
170,3283200.0,38.0,-2.6187011117249e-05,3.4953466586015994e-05,-8.7664554687675e-06,-2.9698590998881e-08,3.4924790969132994e-08,-5.2261999702521e-09,-16.656553139157,23.578187959050002,-2.0745478041421004,0.10555555555556,50400.0,1.0,1100.0,530.0,0.2,17.0
174,3369600.0,39.0,-2.6720897440198e-05,3.5671446838695003e-05,-8.950549398497e-06,-3.0630118817965e-08,3.6052288788341005e-08,-5.4221699703753e-09,-16.655499039785,23.685890802204,-2.0685829158717,0.10833333333333,50400.0,1.0,1100.0,530.0,0.2,17.0
178,3456000.0,40.0,-2.7250072348826997e-05,3.6383336282045e-05,-9.133263933217699e-06,-3.1568763162765e-08,3.7189714660701004e-08,-5.620951497935699e-09,-16.654481354465002,23.793101586189998,-2.0625924596018,0.11111111111111001,50400.0,1.0,1100.0,530.0,0.2,17.0
182,3542400.0,41.0,-2.7774657533106e-05,3.7089293839536e-05,-9.314636306430698e-06,-3.2514504936751e-08,3.8337050171781005e-08,-5.8225452350299e-09,-16.653481530525,23.900092041727,-2.0565481799963,0.11388888888889,50400.0,1.0,1100.0,530.0,0.2,17.0
186,3628800.0,42.0,-2.829475869616e-05,3.7789455634462e-05,-9.494696938302e-06,-3.3467315870156e-08,3.9494263117358e-08,-6.026947247201899e-09,-16.652502635469002,24.005304561676002,-2.0507951168328,0.11666666666667,50400.0,1.0,1100.0,530.0,0.2,17.0
190,3715200.0,43.0,-2.8810483180615002e-05,3.8483961159981e-05,-9.673477979365401e-06,-3.4427170386707005e-08,4.0661325738572e-08,-6.2341553518648e-09,-16.651567047663,24.109540923277997,-2.0451033308678,0.11944444444444001,50400.0,1.0,1100.0,530.0,0.2,17.0
194,3801600.0,44.0,-2.932193202132e-05,3.9172940731690995e-05,-9.851008710371301e-06,-3.5394043747988e-08,4.1838210834805e-08,-6.4441670868178e-09,-16.650640459629,24.212335740489003,-2.0396402091967,0.12222222222222,50400.0,1.0,1100.0,530.0,0.2,17.0
198,3888000.0,45.0,-2.9829205000258002e-05,3.9856524292570004e-05,-1.0027319292313e-05,-3.6367914138667e-08,4.3024895467295e-08,-6.6569813286274996e-09,-16.649732423046,24.314231545026,-2.0342141161783003,0.125,50400.0,1.0,1100.0,530.0,0.2,17.0
202,3974400.0,46.0,-3.0332398023112e-05,4.0534836571823e-05,-1.0202438548711e-05,-3.7348758836527e-08,4.4221355655167e-08,-6.872596818640099e-09,-16.64883746394,24.414929530258004,-2.0289277177583998,0.12777777777778,50400.0,1.0,1100.0,530.0,0.2,17.0
