time,damage,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years
10368000,0.66219521682742,120,-0.0002273642699761,0.00026500212639664,-3.7637856420539e-05,-4.8416836557822e-07,5.952386202991e-07,-1.1107025472088e-07,-16.582036465517,45.829886614165,3.8648420392172,0.33333333333333
11232000,0.71222883599579,130,-0.00024053772747733,0.00028057323221222,-4.0035504734885e-05,-5.5415103895496e-07,6.8726945932724e-07,-1.3311842037228e-07,-16.574766626367,47.104239202801,3.931819745532,0.36111111111111
12096000,0.76288192817467,140,-0.00025345333561762,0.00029585519052305,-4.2401854905433e-05,-6.2950665835389e-07,7.8726190206842e-07,-1.5775524371453e-07,-16.5679869673,48.316434032536,3.9915733433208,0.38888888888889
12960000,0.81409845569487,150,-0.00026613507567023,0.00031087485439919,-4.4739778728952e-05,-7.1038637653119e-07,8.9550103888652e-07,-1.8511466235533e-07,-16.561673851208,49.469169807697,4.0441051991115,0.41666666666667
13824000,0.86582758489093,160,-0.00027860297645947,0.0003256545858361,-4.7051609376629e-05,-7.9693669657809e-07,1.012266633957e-06,-2.1532993737892e-07,-16.555810120196,50.564971774505,4.0894610368098,0.44444444444444
14688000,0.91802311920151,170,-0.00029087412182942,0.00034021342823476,-4.9339306405335e-05,-8.8929960699794e-07,1.1378332278796e-06,-2.4853362088164e-07,-16.550375613034,51.606208327815,4.1277178446373,0.47222222222222
15552000,0.97064321748574,180,-0.00030296334301754,0.00035456790591355,-5.1604562896006e-05,-9.8761272822538e-07,1.2724702555519e-06,-2.8485752732649e-07,-16.54535458506,52.595107384108,4.1589734410857,0.5
15559200,1.0236673744183,180.08333333333,-0.00030296334301754,0.00035456790591355,-5.1604562896006e-05,-9.8761272822538e-07,1.2724702555519e-06,-2.8485752732649e-07,-10.800913076094,95.430949539664,54.241641520669,0.50023148148148
15566400,1.8645042116576,180.16666666667,-0.00030296334301754,0.00035456790591355,-5.1604562896006e-05,-9.8761272822538e-07,1.2724702555519e-06,-2.8485752732649e-07,-8.5701051859325,72.403038303726,50.868117437112,0.50046296296296
15573600,3.2492624997701,180.25,-0.00030296334301754,0.00035456790591355,-5.1604562896006e-05,-9.8761272822538e-07,1.2724702555519e-06,-2.8485752732649e-07,0.12256889860249,35.369588697606,21.057862035706,0.50069444444444
15663600,3.6807252274834,181.29166666667,-0.00030296334301754,0.00035456790591355,-5.1604562896006e-05,-9.8761272822538e-07,1.2724702555519e-06,-2.8485752732649e-07,0.16020642109764,33.863189591477,20.54160349893,0.50358796296296
15667200,3.6814203572087,181.33333333333,-0.00030296334301754,0.00035456790591355,-5.1604562896006e-05,-9.8761272822538e-07,1.2724702555519e-06,-2.8485752732649e-07,-5.3161468040058,56.955412591768,41.753671468908,0.5037037037037
15670800,3.7218037512657,181.375,-0.00030296334301754,0.00035456790591355,-5.1604562896006e-05,-9.8761272822538e-07,1.2724702555519e-06,-2.8485752732649e-07,-24.705270690466,41.854220882784,26.904424455374,0.50381944444444
15674400,3.7217781963131,181.41666666667,-0.00030299961419598,0.00035461180464292,-5.1612190446943e-05,-9.8782736389953e-07,1.2727724037638e-06,-2.8494503986422e-07,-16.589717502063,23.273307419532,-1.1379145243734,0.50393518518519
16538400,3.7217263316047,191.41666666667,-0.00031073703102123,0.00036409517165253,-5.3358140631302e-05,-1.0435446070863e-06,1.3521459394424e-06,-3.0860133235615e-07,-16.537740779288,24.193385778216,-1.2263642422595,0.53171296296296
17402400,3.7217282820123,201.41666666667,-0.0003242426693519,0.00038029425113431,-5.6051581782412e-05,-1.1130502472429e-06,1.4518248150401e-06,-3.3877456779725e-07,-16.568583434828,26.866072962211,-0.4186604167921,0.55949074074074
18266400,3.7217308826653,211.41666666667,-0.00033765549665505,0.00039635708568633,-5.8701589031279e-05,-1.1891229075086e-06,1.5618790562905e-06,-3.7275614878187e-07,-16.577007533333,28.004049614633,-0.38218858209222,0.58726851851852
19130400,3.7217323794783,221.41666666667,-0.0003507834348837,0.00041205634831416,-6.1272913430459e-05,-1.2714697526902e-06,1.6819593021426e-06,-4.1048954945243e-07,-16.582436864285,29.030988214062,-0.3721769827595,0.6150462962963
19994400,3.7217338691239,231.41666666667,-0.000363663425812,0.0004274437832206,-6.3780357408598e-05,-1.3601476965287e-06,1.8122323967082e-06,-4.5208470017947e-07,-16.58669897604,30.015150497108,-0.37078408836024,0.64282407407407
20858400,3.7217353815163,241.41666666667,-0.00037633087685795,0.00044256765254337,-6.6236775685424e-05,-1.4552497105598e-06,1.9529167637849e-06,-4.9766705322514e-07,-16.59008348389,30.966588561741,-0.37539636786044,0.67060185185185
21722400,3.7217369174453,251.41666666667,-0.00038881277363269,0.00045746452948249,-6.8651755849794e-05,-1.5568826841289e-06,2.1042500682529e-06,-5.4736738412395e-07,-16.592733122539,31.890577873995,-0.38467014927515,0.69837962962963
22586400,3.7217384765769,261.41666666667,-0.0004011298020926,0.000472162271101,-7.1032469008398e-05,-1.6651637044696e-06,2.2664841050319e-06,-6.0132040056228e-07,-16.594758716002,32.791064762961,-0.397615493074,0.72615740740741
23450400,3.721740058516,271.41666666667,-0.00041329814031132,0.00048668248673306,-7.3384346421734e-05,-1.7802180474499e-06,2.4398821131888e-06,-6.596640657389e-07,-16.59625235643,33.671152021355,-0.41346529886848,0.75393518518519
24314400,3.7217416628625,281.41666666667,-0.00042533069251952,0.00050104224265773,-7.5711550138209e-05,-1.9021776304941e-06,2.6247166896838e-06,-7.225390591897e-07,-16.597291091173,34.533317047247,-0.43161634692058,0.78171296296296
25178400,3.7217432892148,291.41666666667,-0.00043723794246633,0.00051525524550375,-7.8017303037426e-05,-2.0311797645943e-06,2.8212680840828e-06,-7.9008831948851e-07,-16.597939430673,35.379560701952,-0.45158919394948,0.80949074074074
26042400,3.7217449371703,301.41666666667,-0.00044902855368237,0.000529332678172,-8.0304124489637e-05,-2.1673661407564e-06,3.0298227937857e-06,-8.6245665302934e-07,-16.598252218966,36.211515791373,-0.47299923035807,0.83726851851852
26906400,3.7217466063244,311.41666666667,-0.00046070979976009,0.00054328380089678,-8.2574001136691e-05,-2.3108819953006e-06,3.2506723918005e-06,-9.3979039649994e-07,-16.59827575971,37.030527675165,-0.49553509410416,0.8650462962963
27770400,3.721748296272,321.41666666667,-0.00047228787631776,0.00055711638870179,-8.4828512384026e-05,-2.4618754195679e-06,3.4841125435955e-06,-1.0222371240276e-06,-16.598049339542,37.837714867347,-0.51894265128575,0.89282407407407
28634400,3.7217500066075,331.41666666667,-0.00048376813020917,0.00057083705404194,-8.706892383277e-05,-2.620496786979e-06,3.7304421783683e-06,-1.1099453913893e-06,-16.597606850039,38.63401512867,-0.54301291293704,0.92060185185185
29498400,3.7217517369238,341.41666666667,-0.000495155231815,0.00058445148929568,-8.9296257480678e-05,-2.7868982682509e-06,3.9899627789037e-06,-1.2030645106528e-06,-16.596976857707,39.420221042193,-0.5675725958785,0.94837962962963
30362400,3.7217534868148,351.41666666667,-0.00050645330366698,0.000597964648796,-9.1511345129022e-05,-2.9612334266148e-06,4.2629777773816e-06,-1.3017443507668e-06,-16.596184447897,40.197007448464,-0.59247715695784,0.97615740740741
31226400,3.7217552558732,361.41666666667,-0.00051766602025209,0.00061138088947409,-9.3714869222002e-05,-3.1436568686305e-06,4.5497920276451e-06,-1.4061351590146e-06,-16.595250909759,40.964953105191,-0.61760504166713,1.0039351851852
31233600,3.7217570436934,361.5,-0.00051766602025209,0.00061138088947409,-9.3714869222002e-05,-3.1436568686305e-06,4.5497920276451e-06,-1.4061351590146e-06,-10.844083495226,65.776283184888,32.925063053433,1.0041666666667
31240800,3.863949237067,361.58333333333,-0.00051766602025209,0.00061138088947409,-9.3714869222002e-05,-3.1436568686305e-06,4.5497920276451e-06,-1.4061351590146e-06,-5.7516303088441,68.739599811671,41.788327217224,1.0043981481481
31248000,4.3226730116563,361.66666666667,-0.00051766602025209,0.00061138088947409,-9.3714869222002e-05,-3.1436568686305e-06,4.5497920276451e-06,-1.4061351590146e-06,0.21234982765303,36.797708860197,17.522730759264,1.0046296296296
31338000,4.627048002516,362.70833333333,-0.00051766602025209,0.00061138088947409,-9.3714869222002e-05,-3.1436568686305e-06,4.5497920276451e-06,-1.4061351590146e-06,0.25651050489115,35.45930233853,17.069067456002,1.0075231481481
31341600,4.6273994555915,362.75,-0.00051766602025209,0.00061138088947409,-9.3714869222002e-05,-3.1436568686305e-06,4.5497920276451e-06,-1.4061351590146e-06,-5.2723257288537,53.549762889764,34.043567162503,1.0076388888889
31345200,4.6703800759112,362.79166666667,-0.00051766602025209,0.00061138088947409,-9.3714869222002e-05,-3.1436568686305e-06,4.5497920276451e-06,-1.4061351590146e-06,-10.818100751178,46.512076542019,24.918422165434,1.0077546296296
31348800,4.6703540150062,362.83333333333,-0.00051769688651545,0.00061141827824618,-9.3721391730736e-05,-3.1441117223551e-06,4.5505194555201e-06,-1.4064077331651e-06,-16.454940192965,26.699427681361,-3.9526532203955,1.0078703703704
32212800,4.6702959050277,372.83333333333,-0.00052426181945213,0.00061945509974789,-9.5193280295756e-05,-3.2558522536345e-06,4.7303442032359e-06,-1.4744919496014e-06,-16.406390579221,26.98238466278,-4.1636338168898,1.0356481481481
33076800,4.670298224914,382.83333333333,-0.00053609016818118,0.00063375607404124,-9.7665905860059e-05,-3.3896268920551e-06,4.9457833028747e-06,-1.5561564108196e-06,-16.452306669896,29.217299392309,-3.502176448395,1.0634259259259
33940800,4.6703012407387,392.83333333333,-0.00054797764320858,0.00064810905701799,-0.00010013141380941,-3.5324953774441e-06,5.1768831502155e-06,-1.6443877727714e-06,-16.468401909549,30.052655460756,-3.508387356925,1.0912037037037
34804800,4.670302915014,402.83333333333,-0.0005597049418878,0.00066224674050533,-0.00010254179861753,-3.6837842765584e-06,5.4226282552041e-06,-1.7388439786457e-06,-16.480810495824,30.794158202128,-3.5385062512563,1.1189814814815
35668800,4.6703045684151,412.83333333333,-0.00057128831492813,0.00067619398400645,-0.00010490566907832,-3.8434560899671e-06,5.683030658672e-06,-1.8395745687049e-06,-16.49161853415,31.505301668527,-3.5751872901805,1.1467592592593
36532800,4.6703062380112,422.83333333333,-0.00058274831711273,0.00068998013932066,-0.00010723182220793,-4.0115310225171e-06,5.9581936610912e-06,-1.9466626385741e-06,-16.501174841966,32.193478009647,-3.6164044793898,1.174537037037
37396800,4.6703079248165,432.83333333333,-0.00059410084274625,0.00070362791428604,-0.0001095270715398,-4.188049278909e-06,6.248251147673e-06,-2.060201868764e-06,-16.509667978246,32.862136294363,-3.6612165158494,1.2023148148148
38260800,4.6703096284792,442.83333333333,-0.00060535804225027,0.000717154703456,-0.00011179666120573,-4.3730656230601e-06,6.5533591154728e-06,-2.1802934924127e-06,-16.517247265434,33.513880244416,-3.7089164754005,1.2300925925926
39124800,4.6703113486073,452.83333333333,-0.00061652933772705,0.00073057400339695,-0.00011404466566989,-4.5666465845331e-06,6.87369141111e-06,-2.3070448265769e-06,-16.524035944272,34.150799487114,-3.7589397973001,1.2578703703704
39988800,4.6703130848263,462.83333333333,-0.00062762214608786,0.00074389642600924,-0.00011627427992138,-4.7688683175755e-06,7.2094364583604e-06,-2.4405681407849e-06,-16.530137439122,34.774594968627,-3.8108293671948,1.2856481481481
40852800,4.6703148367802,472.83333333333,-0.00063864239188513,0.00075713042196182,-0.00011848803007669,-4.9798148757384e-06,7.5607946106876e-06,-2.5809797349492e-06,-16.535638934216,35.38666495517,-3.8642114506718,1.3134259259259
