,time,days,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz,years,dt,state,T_gas,T_steam,p_gas,p_steam
1055,22759200,263.41666666667,-0.000227166261655,0.0002662362386258,-3.9069976970892e-05,-4.8718553506927e-07,6.3597236359714e-07,-1.4878682852787e-07,-16.468001012836,46.183462888064,0.54805367830134,0.73171296296296,50400.0,1,1100.0,530.0,0.2,17.0
1059,22845600,264.41666666667,-0.0002278256822497,0.0002670059762544,-3.9180294004669e-05,-4.9067732291224e-07,6.4077513497272e-07,-1.5009781206048e-07,-16.467206610644,46.278727195633,0.55713160184783,0.73449074074074,50400.0,1,1100.0,530.0,0.2,17.0
1063,22932000,265.41666666667,-0.0002284846621945,0.0002677752486015,-3.9290586407055e-05,-4.9418489331797e-07,6.456014809387e-07,-1.5141658762073e-07,-16.467965552632,46.365358780752,0.56241802317238,0.73726851851852,50400.0,1,1100.0,530.0,0.2,17.0
1067,23018400,266.41666666667,-0.0002291433267694,0.0002685442018942,-3.9400875124842e-05,-4.977084392288e-07,6.5045167121613e-07,-1.5274323198733e-07,-16.465621961702,46.469045946833,0.5752505756619,0.7400462962963,50400.0,1,1100.0,530.0,0.2,17.0
1071,23104800,267.41666666667,-0.0002298015538936,0.0002693126933019,-3.951113940827e-05,-5.0124784910634e-07,6.5532556992866e-07,-1.5407772082232e-07,-16.466383749494,46.555550465889,0.5805121717866,0.74282407407407,50400.0,1,1100.0,530.0,0.2,17.0
1075,23191200,268.41666666667,-0.0002304594128031,0.0002700808034896,-3.9621390686554e-05,-5.0480324774028e-07,6.6022335607779e-07,-1.5542010833751e-07,-16.465704978178,46.651154846353,0.58968175919055,0.74560185185185,50400.0,1,1100.0,530.0,0.2,17.0
1079,23277600,269.41666666667,-0.0002311168973476,0.0002708485251481,-3.9731627800483e-05,-5.0837466674176e-07,6.6514508480522e-07,-1.5677041806346e-07,-16.46488985287,46.745910028631,0.59866019927226,0.74837962962963,50400.0,1,1100.0,530.0,0.2,17.0
1083,23364000,270.41666666667,-0.0002317740089066,0.000271615858999,-3.9841850092426e-05,-5.1196215643789e-07,6.7009083915371e-07,-1.5812868271583e-07,-16.464080568707,46.840515389319,0.60756308037638,0.75115740740741,50400.0,1,1100.0,530.0,0.2,17.0
1087,23450400,271.41666666667,-0.0002324307514304,0.0002723828108624,-3.9952059431994e-05,-5.1556574414405e-07,6.7506066231579e-07,-1.5949491817174e-07,-16.463232121782,46.93560833914,0.61672351805555,0.75393518518519,50400.0,1,1100.0,530.0,0.2,17.0
1091,23536800,272.41666666667,-0.0002330871268506,0.0002731493820796,-4.0062255229021e-05,-5.1918548030127e-07,6.8005463727162e-07,-1.6086915697035e-07,-16.462416742639,47.030576688365,0.62581155674275,0.75671296296296,50400.0,1,1100.0,530.0,0.2,17.0
1095,23623200,273.41666666667,-0.0002337431337924,0.000273915570922,-4.0172437129671e-05,-5.2282140275057e-07,6.8507282754484e-07,-1.6225142479427e-07,-16.461624025289,47.125140620174,0.63473904795662,0.75949074074074,50400.0,1,1100.0,530.0,0.2,17.0
1099,23709600,274.41666666667,-0.0002343988362517,0.0002746814519274,-4.0282615675668e-05,-5.2647363272061e-07,6.9011540759096e-07,-1.6364177487035e-07,-16.459218360775,47.228390451775,0.6475576354118,0.76226851851852,50400.0,1,1100.0,530.0,0.2,17.0
1103,23796000,275.41666666667,-0.000235054175816,0.0002754469565803,-4.0392780764314e-05,-5.3014213712328e-07,6.9518234617287e-07,-1.6504020904959e-07,-16.458431703208,47.323215818608,0.65660162560168,0.7650462962963,50400.0,1,1100.0,530.0,0.2,17.0
1107,23882400,276.41666666667,-0.0002357090911235,0.0002762120129993,-4.0502921875858e-05,-5.3382687720015e-07,7.0027360438259e-07,-1.6644672718243e-07,-16.45921123102,47.409303542239,0.66180711201494,0.76782407407407,50400.0,1,1100.0,530.0,0.2,17.0
1111,23968800,277.41666666667,-0.0002363636453278,0.0002769766948486,-4.0613049520826e-05,-5.375279724121e-07,7.0538935453834e-07,-1.6786138212625e-07,-16.458426526452,47.50392518359,0.67080364561842,0.77060185185185,50400.0,1,1100.0,530.0,0.2,17.0
