time,metal_creep_strain_rr,metal_creep_strain_tt,metal_creep_strain_zz,nl_its,oxide_creep_strain_rr,oxide_creep_strain_tt,oxide_creep_strain_zz,oxide_stress_rr,oxide_stress_tt,oxide_stress_zz
342000,-7.6031668064363e-06,9.3571148959259e-06,-1.7539480894896e-06,1,-2.4142912513267e-09,2.7332303943822e-09,-3.189391430555e-10,-9.9254310480951,1.0730430536596,-11.662890317555
343200,-7.6032755728232e-06,9.357571463091e-06,-1.7542958902678e-06,3,-2.4142912513267e-09,2.7332303943822e-09,-3.189391430555e-10,-12.18377698967,6.8719745994011,-8.6766903805991
344400,-7.6067966073662e-06,9.3631844061668e-06,-1.7563877988006e-06,3,-2.4142912513267e-09,2.7332303943822e-09,-3.189391430555e-10,-14.441292414727,12.810332684377,-5.5513965435692
345600,-7.6490140298315e-06,9.4147528669246e-06,-1.7657388370931e-06,3,-2.4286939053242e-09,2.7495815609177e-09,-3.2088765559349e-10,-16.697646205264,18.890674537822,-2.2860848225391
362400,-8.2350061726544e-06,1.0130109188051e-05,-1.8951030153962e-06,2,-2.6309899733582e-09,2.9793521577359e-09,-3.4836218437763e-10,-16.697906336823,18.931029173101,-2.2822026357247
379200,-8.8160917466903e-06,1.0839044550186e-05,-2.0229528034962e-06,2,-2.833955680978e-09,3.2099863112023e-09,-3.7603063022427e-10,-16.697557889202,18.972473639249,-2.2771245180661
396000,-9.3923707596874e-06,1.1541693884349e-05,-2.1493231246615e-06,2,-3.0375905507546e-09,3.4414837222943e-09,-4.0389317153977e-10,-16.697210586284,19.01379559999,-2.2720681234452
397200,-9.395755749996e-06,1.1547085619714e-05,-2.1513298697183e-06,3,-3.0375905507546e-09,3.4414837222943e-09,-4.0389317153977e-10,-14.441248431535,12.936186500036,-5.5378405301279
398400,-9.3958568086154e-06,1.1547517060535e-05,-2.1516602519191e-06,3,-3.0375905507546e-09,3.4414837222943e-09,-4.0389317153977e-10,-12.18352450794,6.9990531603484,-8.6626662363935
399600,-9.3957687674479e-06,1.1547602431512e-05,-2.1518336640643e-06,3,-3.0375905507546e-09,3.4414837222943e-09,-4.0389317153977e-10,-9.9246705638635,1.2014529720036,-11.647790417069
409200,-9.3950645885416e-06,1.1548285458108e-05,-2.1532208695666e-06,1,-3.0375905507546e-09,3.4414837222943e-09,-4.0389317153977e-10,-9.9243380570034,1.2030068772103,-11.646889400998
418800,-9.3943604974955e-06,1.1548968560673e-05,-2.1546080631771e-06,1,-3.0375905507546e-09,3.4414837222943e-09,-4.0389317153977e-10,-9.9243302500781,1.2039012446393,-11.646649698278
428400,-9.3936564942482e-06,1.1549651739122e-05,-2.155995244874e-06,1,-3.0375905507546e-09,3.4414837222943e-09,-4.0389317153977e-10,-9.9243227564882,1.204794585151,-11.646410526801
429600,-9.393757718204e-06,1.1550083533279e-05,-2.1563258150746e-06,3,-3.0375905507546e-09,3.4414837222943e-09,-4.0389317153977e-10,-12.182669343059,7.0037085576042,-8.6602301100789
430800,-9.3971458217738e-06,1.1555479510536e-05,-2.1583336887622e-06,3,-3.0375905507546e-09,3.4414837222943e-09,-4.0389317153977e-10,-14.440185166223,12.942044263281,-5.5349577198629
432000,-9.4383086683066e-06,1.1605664327111e-05,-2.167355658804e-06,3,-3.0521452513254e-09,3.4580307861934e-09,-4.0588553486795e-10,-16.69653955439,19.02234047121,-2.2696710114618
439200,-9.4383086683066e-06,1.1605664327111e-05,-2.167355658804e-06,4,-3.0521452513254e-09,3.4580307861934e-09,-4.0588553486795e-10,-10.676829794469,72.511167991002,58.34266940041
446400,-9.4383086683066e-06,1.1605664327111e-05,-2.167355658804e-06,3,-3.0521452513254e-09,3.4580307861934e-09,-4.0588553486795e-10,-4.9686834947785,89.464651915828,82.283258142248
453600,-9.4383086683066e-06,1.1605664327111e-05,-2.167355658804e-06,3,-3.0521452513254e-09,3.4580307861934e-09,-4.0588553486795e-10,0.18666832731334,40.028460746361,39.60216168905
483600,-9.4383086683066e-06,1.1605664327111e-05,-2.167355658804e-06,1,-3.0521452513254e-09,3.4580307861934e-09,-4.0588553486795e-10,0.19618081082736,40.039024766671,39.615980736275
513600,-9.4383086683066e-06,1.1605664327111e-05,-2.167355658804e-06,1,-3.0521452513254e-09,3.4580307861934e-09,-4.0588553486795e-10,0.19620745629147,40.039060221903,39.615926754079
543600,-9.4383086683066e-06,1.1605664327111e-05,-2.167355658804e-06,1,-3.0521452513254e-09,3.4580307861934e-09,-4.0588553486795e-10,0.19620725487524,40.039059998493,39.615926459608
547200,-9.4383086683066e-06,1.1605664327111e-05,-2.167355658804e-06,3,-3.0521452513254e-09,3.4580307861934e-09,-4.0588553486795e-10,-4.9579036146152,89.47775288478,82.296899527785
550800,-9.4383086683066e-06,1.1605664327111e-05,-2.167355658804e-06,3,-3.0521452513254e-09,3.4580307861934e-09,-4.0588553486795e-10,-10.677209712902,72.511254743102,58.341271754162
554400,-9.5616086880802e-06,1.1755962814724e-05,-2.1943541266438e-06,3,-3.0958314323836e-09,3.5077042126107e-09,-4.1187278022705e-10,-16.704740657339,19.020744331683,-2.2790363656656
571200,-1.0132136876578e-05,1.2451046951493e-05,-2.318910074915e-06,2,-3.3003976453819e-09,3.7404013853981e-09,-4.4000374001625e-10,-16.696728209592,19.0711125734,-2.2648187054136
