time,dt,state,T_gas,T_steam,p_gas,p_steam
8690400.0,3600.0,4,1100.0,530.0,0.2,17.0
8694000.0,28800.0,2,845,525,0.1,10
8722800.0,3600.0,5,845.0,525.0,0.1,10.0
8726400.0,50400.0,1,1100,530,0.2,17
8776800.0,3600.0,4,1100.0,530.0,0.2,17.0
8780400.0,28800.0,2,845,525,0.1,10
8809200.0,3600.0,5,845.0,525.0,0.1,10.0
8812800.0,50400.0,1,1100,530,0.2,17
8863200.0,3600.0,4,1100.0,530.0,0.2,17.0
8866800.0,28800.0,2,845,525,0.1,10
8895600.0,3600.0,5,845.0,525.0,0.1,10.0
8899200.0,50400.0,1,1100,530,0.2,17
8949600.0,3600.0,4,1100.0,530.0,0.2,17.0
8953200.0,28800.0,2,845,525,0.1,10
8982000.0,3600.0,5,845.0,525.0,0.1,10.0
8985600.0,50400.0,1,1100,530,0.2,17
9036000.0,3600.0,4,1100.0,530.0,0.2,17.0
9039600.0,28800.0,2,845,525,0.1,10
9068400.0,3600.0,5,845.0,525.0,0.1,10.0
9072000.0,50400.0,1,1100,530,0.2,17
9122400.0,3600.0,4,1100.0,530.0,0.2,17.0
9126000.0,28800.0,2,845,525,0.1,10
9154800.0,3600.0,5,845.0,525.0,0.1,10.0
9158400.0,50400.0,1,1100,530,0.2,17
9208800.0,3600.0,4,1100.0,530.0,0.2,17.0
9212400.0,28800.0,2,845,525,0.1,10
9241200.0,3600.0,5,845.0,525.0,0.1,10.0
9244800.0,50400.0,1,1100,530,0.2,17
9295200.0,3600.0,4,1100.0,530.0,0.2,17.0
9298800.0,28800.0,2,845,525,0.1,10
9327600.0,3600.0,5,845.0,525.0,0.1,10.0
9331200.0,50400.0,1,1100,530,0.2,17
9381600.0,3600.0,4,1100.0,530.0,0.2,17.0
9385200.0,28800.0,2,845,525,0.1,10
9414000.0,3600.0,5,845.0,525.0,0.1,10.0
9417600.0,50400.0,1,1100,530,0.2,17
9468000.0,3600.0,4,1100.0,530.0,0.2,17.0
9471600.0,28800.0,2,845,525,0.1,10
9500400.0,3600.0,5,845.0,525.0,0.1,10.0
9504000.0,50400.0,1,1100,530,0.2,17
9554400.0,3600.0,4,1100.0,530.0,0.2,17.0
9558000.0,28800.0,2,845,525,0.1,10
9586800.0,3600.0,5,845.0,525.0,0.1,10.0
9590400.0,50400.0,1,1100,530,0.2,17
9640800.0,3600.0,4,1100.0,530.0,0.2,17.0
9644400.0,28800.0,2,845,525,0.1,10
9673200.0,3600.0,5,845.0,525.0,0.1,10.0
9676800.0,50400.0,1,1100,530,0.2,17
9727200.0,3600.0,4,1100.0,530.0,0.2,17.0
9730800.0,28800.0,2,845,525,0.1,10
9759600.0,3600.0,5,845.0,525.0,0.1,10.0
9763200.0,50400.0,1,1100,530,0.2,17
9813600.0,3600.0,4,1100.0,530.0,0.2,17.0
9817200.0,28800.0,2,845,525,0.1,10
9846000.0,3600.0,5,845.0,525.0,0.1,10.0
9849600.0,50400.0,1,1100,530,0.2,17
9900000.0,3600.0,4,1100.0,530.0,0.2,17.0
9903600.0,28800.0,2,845,525,0.1,10
9932400.0,3600.0,5,845.0,525.0,0.1,10.0
9936000.0,50400.0,1,1100,530,0.2,17
9986400.0,3600.0,4,1100.0,530.0,0.2,17.0
9990000.0,28800.0,2,845,525,0.1,10
10018800.0,3600.0,5,845.0,525.0,0.1,10.0
10022400.0,50400.0,1,1100,530,0.2,17
10072800.0,3600.0,4,1100.0,530.0,0.2,17.0
